Gene_Symbol,GeneID,Description
PTTG1,9232,pituitary tumor-transforming 1
TRHDE,29953,thyrotropin-releasing hormone degrading enzyme
BCL6B,255877,"B-cell CLL/lymphoma 6, member B (zinc finger protein)"
GOLGA1,2800,"golgi autoantigen, golgin subfamily a, 1"
ABO,28,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
KIAA0947,23379,KIAA0947 protein
CHRNB2,1141,"cholinergic receptor, nicotinic, beta 2 (neuronal)"
HCK,3055,hemopoietic cell kinase
NRGN,4900,"neurogranin (protein kinase C substrate, RC3)"
EIF4G2,1982,"eukaryotic translation initiation factor 4 gamma, 2"
ITIH2,3698,inter-alpha (globulin) inhibitor H2
NFIC,4782,nuclear factor I/C (CCAAT-binding transcription factor)
RASSF6,166824,Ras association (RalGDS/AF-6) domain family 6
STAT3,6774,signal transducer and activator of transcription 3 (acute-phase response factor)
POLR2K,5440,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa"
CSPP1,79848,centrosome and spindle pole associated protein 1
ZNF239,8187,zinc finger protein 239
COL17A1,1308,"collagen, type XVII, alpha 1"
SIRT5,23408,sirtuin (silent mating type information regulation 2 homolog) 5
CD2AP,23607,CD2-associated protein
KIF3A,11127,kinesin family member 3A
RBM20,282996,RNA binding motif protein 20
FLNA,2316,"filamin A, alpha (actin binding protein 280)"
GBAS,2631,glioblastoma amplified sequence
ARMC1,55156,armadillo repeat containing 1
FLJ41603,389337,FLJ41603 protein
ID1,3397,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
KIR3DL1,3811,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
SH2D2A,9047,SH2 domain protein 2A
COL2A1,1280,"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)"
DIP,23151,death-inducing-protein
TUBB2A,7280,"tubulin, beta 2A"
NDUFS2,4720,"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)"
TIMM8B,26521,translocase of inner mitochondrial membrane 8 homolog B
C19orf61,56006,chromosome 19 open reading frame 61
HNF1B,6928,HNF1 homeobox B
BTNL9,153579,butyrophilin-like 9
RASEF,158158,RAS and EF-hand domain containing
CNDP2,55748,CNDP dipeptidase 2 (metallopeptidase M20 family)
IL11RA,3590,"interleukin 11 receptor, alpha"
ZNF208,7757,zinc finger protein 208
MTP18,51537,mitochondrial protein 18 kDa
POLR3A,11128,"polymerase (RNA) III (DNA directed) polypeptide A, 155kDa"
ACOX2,8309,"acyl-Coenzyme A oxidase 2, branched chain"
TXNDC4,23071,thioredoxin domain containing 4 (endoplasmic reticulum)
IER5,51278,immediate early response 5
GLRB,2743,"glycine receptor, beta"
CNPY2,10330,canopy 2 homolog (zebrafish)
RBM26,64062,RNA binding motif protein 26
WNT10B,7480,"wingless-type MMTV integration site family, member 10B"
XKR6,286046,"XK, Kell blood group complex subunit-related family, member 6"
LRRC58,116064,leucine rich repeat containing 58
FGF4,2249,"fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)"
FAM118A,55007,"family with sequence similarity 118, member A"
MRPS5,64969,mitochondrial ribosomal protein S5
MAP7,9053,microtubule-associated protein 7
ELA2B,51032,elastase 2B
PER1,5187,period homolog 1
PLEK2,26499,pleckstrin 2
HMGCR,3156,3-hydroxy-3-methylglutaryl-Coenzyme A reductase
DTX1,1840,deltex homolog 1
CDK8,1024,cyclin-dependent kinase 8
AKAP11,11215,A kinase (PRKA) anchor protein 11
ICK,22858,intestinal cell (MAK-like) kinase
GUCY2F,2986,"guanylate cyclase 2F, retinal"
HBB,3043,"hemoglobin, beta"
ABCC3,8714,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
GNB2L1,10399,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
FAM122B,159090,family with sequence similarity 122B
GRIN2A,2903,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
ACY1,95,aminoacylase 1
NPAL1,152519,NIPA-like domain containing 1
FGFR2,2263,"fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"
ARHGAP12,94134,Rho GTPase activating protein 12
DEFA1,1667,"defensin, alpha 1"
TGM1,7051,"transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)"
ABCD4,5826,"ATP-binding cassette, sub-family D (ALD), member 4"
C10orf26,54838,chromosome 10 open reading frame 26
KIF26A,26153,kinesin family member 26A
RAD17,5884,RAD17 homolog (S. pombe)
CSRP1,1465,cysteine and glycine-rich protein 1
ZKSCAN1,7586,zinc finger with KRAB and SCAN domains 1
ID2,3398,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
SLC15A1,6564,"solute carrier family 15 (oligopeptide transporter), member 1"
PRR12,57479,proline rich 12
PLG,5340,plasminogen
PBX1,5087,pre-B-cell leukemia homeobox 1
LOC285827,285827,hypothetical protein LOC285827
ACCN4,55515,"amiloride-sensitive cation channel 4, pituitary"
NHLH1,4807,nescient helix loop helix 1
CYP3A5,1577,"cytochrome P450, family 3, subfamily A, polypeptide 5 (aryl hydrocarbon hydroxylase, microsomal monooxygenase)"
KCNA5,3741,"potassium voltage-gated channel, shaker-related subfamily, member 5"
OXSM,54995,"3-oxoacyl-ACP synthase, mitochondrial"
CD9,928,CD9 molecule
C6orf15,29113,chromosome 6 open reading frame 15
CDH7,1005,"cadherin 7, type 2"
SLC9A3R1,9368,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1"
APOA4,337,apolipoprotein A-IV
C10orf105,414152,chromosome 10 open reading frame 105
LILRB5,10990,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5"
FIGF,2277,c-fos induced growth factor (vascular endothelial growth factor D)
TMEM176A,55365,transmembrane protein 176A
ITIH4,3700,inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)
TREM2,54209,triggering receptor expressed on myeloid cells 2 (Alzheimer's disease associated)
PBX3,5090,pre-B-cell leukemia homeobox 3
PNPLA8,50640,patatin-like phospholipase domain containing 8
SARS2,54938,"seryl-tRNA synthetase 2, mitochondrial"
LEPREL2,10536,leprecan-like 2
FLJ20184,54848,hypothetical protein FLJ20184
WIF1,11197,WNT inhibitory factor 1
GLRX2,51022,glutaredoxin 2
NPAS3,64067,neuronal PAS domain protein 3
PRKAR1B,5575,"protein kinase, cAMP-dependent, regulatory, type I, beta"
ARPP-19,10776,"cyclic AMP phosphoprotein, 19 kD"
AKAP14,158798,A kinase (PRKA) anchor protein 14
SBDS,51119,Shwachman-Bodian-Diamond syndrome
CITED1,4435,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"
RYR2,6262,ryanodine receptor 2 (cardiac)
PHF3,23469,PHD finger protein 3
BRIP1,83990,BRCA1 interacting protein C-terminal helicase 1
ACTA2,59,"actin, alpha 2, smooth muscle, aorta"
DCP2,167227,DCP2 decapping enzyme homolog
CCNL1,57018,cyclin L1
RNF43,54894,ring finger protein 43
ZNF274,10782,zinc finger protein 274
GNG11,2791,"guanine nucleotide binding protein (G protein), gamma 11"
C21orf34,388815,chromosome 21 open reading frame 34
TMEM138,51524,transmembrane protein 138
PRB3,5544,proline-rich protein BstNI subfamily 3
CA6,765,carbonic anhydrase VI
SNCAIP,9627,"synuclein, alpha interacting protein (synphilin)"
KRT5,3852,"keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)"
ANP32B,10541,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"
UGT2B17,7367,"UDP glucuronosyltransferase 2 family, polypeptide B17"
AIPL1,23746,aryl hydrocarbon receptor interacting protein-like 1
BAI3,577,brain-specific angiogenesis inhibitor 3
FGF13,2258,fibroblast growth factor 13
LOC374973,374973,LOC374973
TNFRSF12A,51330,"tumor necrosis factor receptor superfamily, member 12A"
TCEA3,6920,"transcription elongation factor A (SII), 3"
SYCP1,6847,synaptonemal complex protein 1
RPL36,25873,ribosomal protein L36
ZNF704,619279,zinc finger protein 704
CPA1,1357,carboxypeptidase A1 (pancreatic)
TOMM70A,9868,translocase of outer mitochondrial membrane 70 homolog A
SLC26A3,1811,"solute carrier family 26, member 3"
AGPAT2,10555,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"
CCDC47,57003,coiled-coil domain containing 47
ZNF804A,91752,zinc finger protein 804A (schizophrenia associated)
RPGRIP1,57096,retinitis pigmentosa GTPase regulator interacting protein 1
CHML,1122,choroideremia-like (Rab escort protein 2)
WDR33,55339,WD repeat domain 33
ERF,2077,Ets2 repressor factor
ZNF646,9726,zinc finger protein 646
HTR2C,3358,5-hydroxytryptamine (serotonin) receptor 2C
SNX1,6642,sorting nexin 1
CXorf15,55787,chromosome X open reading frame 15
FER1L5,90342,fer-1-like 5 (C. elegans)
MGC70857,414919,similar to RIKEN cDNA C030006K11 gene
TTN,7273,titin
PKD2L1,9033,polycystic kidney disease 2-like 1
GSTA4,2941,glutathione S-transferase A4
PPP2R5B,5526,"protein phosphatase 2, regulatory subunit B', beta isoform"
OPRS1,10280,"opioid receptor, sigma 1"
SDC4,6385,syndecan 4
JAK2,3717,Janus kinase 2 (a protein tyrosine kinase)
C14orf45,80127,chromosome 14 open reading frame 45
NBEA,26960,neurobeachin
CD53,963,CD53 molecule
BAI1,575,brain-specific angiogenesis inhibitor 1
ZXDC,79364,ZXD family zinc finger C
ZNF536,9745,zinc finger protein 536
S100B,6285,S100 calcium binding protein B
LOC388272,388272,similar to RIKEN cDNA 4921524J17
LOC285141,285141,similar to CG14853-PB
APPBP1,8883,amyloid beta precursor protein binding protein 1
TMEM16E,203859,transmembrane protein 16E
CCKBR,887,cholecystokinin B receptor
ENTPD5,957,ectonucleoside triphosphate diphosphohydrolase 5
SOCS4,122809,suppressor of cytokine signaling 4
LOC285281,285281,hypothetical protein LOC285281
FLJ21438,64926,hypothetical protein FLJ21438
TIMP4,7079,TIMP metallopeptidase inhibitor 4
KLHL31,401265,kelch-like 31
KLK8,11202,kallikrein-related peptidase 8
C12orf49,79794,chromosome 12 open reading frame 49
RAP2A,5911,"RAP2A, member of RAS oncogene family"
FAM3C,10447,"family with sequence similarity 3, member C"
GPC4,2239,glypican 4
HS6ST1,9394,heparan sulfate 6-O-sulfotransferase 1
ARHGAP28,79822,Rho GTPase activating protein 28
FABP5,2171,fatty acid binding protein 5 (psoriasis-associated)
APBB1,322,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
MAGOH,4116,"mago-nashi homolog, proliferation-associated"
RAP1A,5906,"RAP1A, member of RAS oncogene family"
PSTPIP1,9051,proline-serine-threonine phosphatase interacting protein 1
SRL,6345,sarcalumenin
NPR1,4881,natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
LRRC37A2,474170,"leucine rich repeat containing 37, member A2"
IL13RA2,3598,"interleukin 13 receptor, alpha 2"
DPEP1,1800,dipeptidase 1 (renal)
CORIN,10699,"corin, serine peptidase"
VAMP4,8674,vesicle-associated membrane protein 4
LOC145786,145786,hypothetical protein LOC145786
APOC4,346,apolipoprotein C-IV
CD177,57126,CD177 molecule
RORC,6097,RAR-related orphan receptor C
C3orf15,89876,chromosome 3 open reading frame 15
LOC161247,161247,similar to CG10671-like
RAF1,5894,v-raf-1 murine leukemia viral oncogene homolog 1
HIST1H1A,3024,"histone cluster 1, H1a"
C20orf103,24141,chromosome 20 open reading frame 103
PCDH1,5097,protocadherin 1
PFDN2,5202,prefoldin subunit 2
SLC29A1,2030,"solute carrier family 29 (nucleoside transporters), member 1"
LGR4,55366,leucine-rich repeat-containing G protein-coupled receptor 4
IL8,3576,interleukin 8
CD81,975,CD81 molecule
MYB,4602,v-myb myeloblastosis viral oncogene homolog (avian)
ENOSF1,55556,enolase superfamily member 1
DGAT1,8694,diacylglycerol O-acyltransferase homolog 1 (mouse)
GABPB2,2553,"GA binding protein transcription factor, beta subunit 2"
CHD4,1108,chromodomain helicase DNA binding protein 4
GCK,2645,"glucokinase (hexokinase 4, maturity onset diabetes of the young 2)"
ME1,4199,"malic enzyme 1, NADP(+)-dependent, cytosolic"
GEMIN4,50628,gem (nuclear organelle) associated protein 4
RPL6,6128,ribosomal protein L6
CEP55,55165,centrosomal protein 55kDa
CSTF1,1477,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
OTUD7B,56957,OTU domain containing 7B
CYP4A11,1579,"cytochrome P450, family 4, subfamily A, polypeptide 11 (medium to long chain fatty acid omega-hydroxylase; linked to 20-HETE synthase activity; hypertension)"
ATAD2B,54454,"ATPase family, AAA domain containing 2B"
RNF169,254225,ring finger protein 169
ABCC8,6833,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
DKFZP564C196,284649,DKFZP564C196 protein
NDUFAF1,51103,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
ZMPSTE24,10269,"zinc metallopeptidase (STE24 homolog, S. cerevisiae)"
GP1BB,2812,"glycoprotein Ib (platelet), beta polypeptide"
RAP1GAP,5909,RAP1 GTPase activating protein
CX3CL1,6376,chemokine (C-X3-C motif) ligand 1
EZH2,2146,enhancer of zeste homolog 2
IBSP,3381,"integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)"
EVPL,2125,envoplakin
EIF4EBP1,1978,eukaryotic translation initiation factor 4E binding protein 1
COQ9,57017,coenzyme Q9 homolog
PTPN21,11099,"protein tyrosine phosphatase, non-receptor type 21"
SQLE,6713,squalene epoxidase
C6orf168,84553,chromosome 6 open reading frame 168
HSF1,3297,heat shock transcription factor 1
DNPEP,23549,aspartyl aminopeptidase
ESRRA,2101,estrogen-related receptor alpha
ZFYVE20,64145,"zinc finger, FYVE domain containing 20"
MAPKBP1,23005,mitogen activated protein kinase binding protein 1
ZNF185,7739,zinc finger protein 185 (LIM domain)
SPINK2,6691,"serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)"
P2RY5,10161,"purinergic receptor P2Y, G-protein coupled, 5"
DHCR7,1717,7-dehydrocholesterol reductase
FLJ35348,266655,FLJ35348
NUSAP1,51203,nucleolar and spindle associated protein 1
CSNK1G1,53944,"casein kinase 1, gamma 1"
DFNB31,25861,"deafness, autosomal recessive 31"
FBXO5,26271,F-box protein 5
SERPINB7,8710,"serpin peptidase inhibitor, clade B (ovalbumin), member 7"
PRAGMIN,157285,homolog of rat pragma of Rnd2
CAPS,828,calcyphosine
LOC219854,219854,hypothetical protein LOC219854
DNAH14,127602,"dynein, axonemal, heavy chain 14"
AHCYL1,10768,S-adenosylhomocysteine hydrolase-like 1
CACNB1,782,"calcium channel, voltage-dependent, beta 1 subunit"
PTPRN,5798,"protein tyrosine phosphatase, receptor type, N"
MAP6,4135,microtubule-associated protein 6
C1QA,712,"complement component 1, q subcomponent, A chain"
MASP2,10747,mannan-binding lectin serine peptidase 2
TBX3,6926,T-box 3 (ulnar mammary syndrome)
ADAMTS5,11096,"ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)"
LAPTM4B,55353,lysosomal associated protein transmembrane 4 beta
SCUBE2,57758,"signal peptide, CUB domain, EGF-like 2"
BCL2L13,23786,BCL2-like 13 (apoptosis facilitator)
TUSC1,286319,tumor suppressor candidate 1
TMEM64,169200,transmembrane protein 64
FDPS,2224,"farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"
AK3,50808,adenylate kinase 3
ARV1,64801,ARV1 homolog
BSDC1,55108,BSD domain containing 1
SLC37A4,2542,"solute carrier family 37 (glucose-6-phosphate transporter), member 4"
TNFRSF6B,8771,"tumor necrosis factor receptor superfamily, member 6b, decoy"
GOT1,2805,"glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)"
USP44,84101,ubiquitin specific peptidase 44
C6orf173,387103,chromosome 6 open reading frame 173
SLA,6503,Src-like-adaptor
ZNF197,10168,zinc finger protein 197
TASP1,55617,"taspase, threonine aspartase, 1"
RARRES2,5919,retinoic acid receptor responder (tazarotene induced) 2
"LOC653299,BACH2",653299,"similar to BTB and CNC homology 1, basic leucine zipper transcription factor 2, BTB and CNC homology 1, basic leucine zipper transcription factor 2"
LDHC,3948,lactate dehydrogenase C
PCLO,27445,piccolo (presynaptic cytomatrix protein)
TGFB3,7043,"transforming growth factor, beta 3"
FTH1,2495,"ferritin, heavy polypeptide 1"
PDE2A,5138,"phosphodiesterase 2A, cGMP-stimulated"
TFF3,7033,trefoil factor 3 (intestinal)
SETD1B,23067,SET domain containing 1B
SNCB,6620,"synuclein, beta"
TMEM16J,338440,transmembrane protein 16J
RPS16,6217,ribosomal protein S16
TTC32,130502,tetratricopeptide repeat domain 32
CD6,923,CD6 molecule
DISP1,84976,dispatched homolog 1
DIAPH3,81624,diaphanous homolog 3
C9orf9,11092,chromosome 9 open reading frame 9
ERP29,10961,endoplasmic reticulum protein 29
PRKAG2,51422,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
ACPP,55,"acid phosphatase, prostate"
PSMB8,5696,"proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)"
KIAA0247,9766,KIAA0247
USP48,84196,ubiquitin specific peptidase 48
TMEM14C,51522,transmembrane protein 14C
LCORL,254251,ligand dependent nuclear receptor corepressor-like
TCN1,6947,"transcobalamin I (vitamin B12 binding protein, R binder family)"
VEGFC,7424,vascular endothelial growth factor C
ITGAM,3684,"integrin, alpha M (complement component 3 receptor 3 subunit)"
YPEL5,51646,yippee-like 5
RC3H2,54542,ring finger and CCCH-type zinc finger domains 2
ZNF697,90874,zinc finger protein 697
C10orf99,387695,chromosome 10 open reading frame 99
CBLN1,869,cerebellin 1 precursor
KIAA0141,9812,KIAA0141
LYSMD1,388695,"LysM, putative peptidoglycan-binding, domain containing 1"
P2RY14,9934,"purinergic receptor P2Y, G-protein coupled, 14"
ELOVL1,64834,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1"
INHBA,3624,"inhibin, beta A"
TSPAN13,27075,tetraspanin 13
RAB26,25837,"RAB26, member RAS oncogene family"
INPP5D,3635,"inositol polyphosphate-5-phosphatase, 145kDa"
SCN1B,6324,"sodium channel, voltage-gated, type I, beta"
ITPR3,3710,"inositol 1,4,5-triphosphate receptor, type 3"
HOXB6,3216,homeobox B6
RCE1,9986,"RCE1 homolog, prenyl protein peptidase"
ERGIC2,51290,ERGIC and golgi 2
MRPL35,51318,mitochondrial ribosomal protein L35
MYO6,4646,myosin VI
ADAM7,8756,ADAM metallopeptidase domain 7
TMEM194,23306,transmembrane protein 194
MT1H,4496,metallothionein 1H
RCAN3,11123,RCAN family member 3
SGK269,79834,NKF3 kinase family member
MS4A12,54860,"membrane-spanning 4-domains, subfamily A, member 12"
SASS6,163786,spindle assembly 6 homolog (C. elegans)
SH3D19,152503,SH3 domain protein D19
GLOD4,51031,glyoxalase domain containing 4
RALBP1,10928,ralA binding protein 1
PNLIP,5406,pancreatic lipase
RPL26L1,51121,ribosomal protein L26-like 1
ATF4,468,activating transcription factor 4 (tax-responsive enhancer element B67)
PI4K2B,55300,phosphatidylinositol 4-kinase type 2 beta
LY6G6D,58530,"lymphocyte antigen 6 complex, locus G6D"
SEC14L2,23541,SEC14-like 2
MEGF9,1955,multiple EGF-like-domains 9
CLPTM1,1209,cleft lip and palate associated transmembrane protein 1
MAP7D1,55700,MAP7 domain containing 1
MYL4,4635,"myosin, light chain 4, alkali; atrial, embryonic"
FLJ42117,200844,FLJ42117 protein
SLC47A1,55244,"solute carrier family 47, member 1"
HSD17B11,51170,hydroxysteroid (17-beta) dehydrogenase 11
TAAR5,9038,trace amine associated receptor 5
HIST1H3G,8355,"histone cluster 1, H3g"
FBL,2091,fibrillarin
LST1,7940,leukocyte specific transcript 1
